CraterID,Lon,Lat,Diameter,is_cut,box info,coordinary info,is_AUTOvalidated,is_MANUALvalidated
29-005330,171.02,-60.712,2.46,1,0.5 0.5 0.5 0.5,10132159.078917021 -3596227.8918815455 10142171.333862618 -3601139.7958469084,0,0
29-005473,169.068,-60.568,2.38,1,0.5 0.5 0.5 0.5,10016638.725692494 -3587772.223394165 10026282.320628116 -3592524.5722950697,0,0
29-005553,171.243,-62.241,2.34,1,0.5 0.5 0.5 0.5,10145382.563771566 -3686979.695056026 10155384.525326466 -3691650.1355857756,0,0
29-005567,169.394,-61.922,2.34,1,0.5 0.5 0.5 0.5,10035835.630838059 -3668070.895411619 10045733.318889897 -3672741.7183776433,0,0
29-005722,171.092,-62.41,2.26,1,0.5 0.5 0.5 0.5,10136575.526635315 -3697077.145614336 10146289.884091994 -3701587.718705332,0,0
29-005863,170.499,-62.892,2.21,1,0.5 0.5 0.5 0.5,10101455.351506907 -3725697.7494831313 10111110.170522936 -3730107.993059478,0,0
29-005877,170.563,-60.674,2.21,1,0.5 0.5 0.5 0.5,10105583.335769782 -3594225.3285310394 10114567.491862422 -3598638.1004271377,0,0
29-006136,171.977,-63.883,2.12,1,0.5 0.5 0.5 0.5,10189097.633123154 -3784529.35297868 10198683.826563757 -3788758.9523702883,0,0
29-006238,171.044,-63.824,2.08,1,0.5 0.5 0.5 0.5,10133894.353543634 -3781072.071332871 10143280.011754796 -3785221.9272030946,0,0
29-006343,169.4,-62.397,2.04,1,0.5 0.5 0.5 0.5,10036756.314749798 -3696526.3760401905 10045521.229066446 -3700597.88093207,0,0
29-006795,170.451,-60.596,1.93,1,0.5 0.5 0.48250000000000004 0.48250000000000004,10099380.254009195 -3589811.75268612 10107491.118690105 -3593805.2945038453,0,0
29-006801,169.894,-60.725,1.92,1,0.5 0.5 0.48 0.48,10066348.05597507 -3597458.2514849487 10074491.382126996 -3601451.6568326093,0,0
29-007020,168.042,-63.485,1.87,1,0.5 0.5 0.46749999999999997 0.46749999999999997,9956185.091488 -3761057.701838856 9965102.827549651 -3765048.281964248,0,0
29-007937,169.539,-63.972,1.68,1,0.5 0.5 0.42 0.42,10044842.253985716 -3789924.6937866774 10053914.521258336 -3793914.79526348,0,0
29-008127,171.781,-60.4,1.64,1,0.5 0.5 0.41000000000000003 0.41000000000000003,10178239.91773729 -3578193.8160870695 10186302.033132356 -3582187.5659690946,0,0
29-008249,169.655,-63.048,1.62,1,0.5 0.5 0.405 0.405,10051861.856221763 -3735154.4634156716 10060645.886249753 -3739145.4783084807,0,0
29-008414,168.336,-63.068,1.6,1,0.5 0.5 0.4 0.4,9973675.527901309 -3736339.9663862474 9982465.578187302 -3740330.9612740683,0,0
29-008656,169.171,-63.644,1.56,1,0.5 0.5 0.38999999999999996 0.38999999999999996,10023081.39211861 -3770482.4491343 10032048.925885038 -3774472.872300609,0,0
29-008881,168.846,-61.974,1.53,1,0.5 0.5 0.3825 0.3825,10004063.273021962 -3671492.9446175657 10012537.215097705 -3675485.048516961,0,0
29-009205,168.17,-63.058,1.49,1,0.5 0.5 0.3725 0.3725,9963837.429838099 -3735747.214901767 9972624.468826644 -3739738.219790805,0,0
29-009365,170.146,-60.502,1.47,1,0.5 0.5 0.3675 0.3675,10081313.175611522 -3584239.8851993573 10089400.575080743 -3588233.526695945,0,0
29-009590,171.901,-63.977,1.44,1,0.5 0.5 0.36 0.36,10184848.282783523 -3790221.0694532404 10193922.167908564 -3794211.1660482925,0,0
29-010024,168.182,-61.036,1.39,1,0.5 0.5 0.34750000000000003 0.34750000000000003,9964830.112794682 -3615892.832902862 9973052.954403328 -3619885.910794605,0,0
29-010584,168.036,-61.549,1.34,1,0.5 0.5 0.33499999999999996 0.33499999999999996,9956108.588367023 -3646300.997945547 9964466.600076739 -3650293.540576638,0,0
29-012793,169.491,-63.728,1.17,1,0.5 0.5 0.29250000000000004 0.29250000000000004,10042036.049561154 -3775461.560742539 10051030.145536361 -3779451.901254471,0,0
29-012822,168.005,-63.734,1.17,1,0.5 0.5 0.29250000000000004 0.29250000000000004,9953952.89953703 -3775817.211567165 9962948.899595568 -3779807.5461823144,0,0
29-013363,169.174,-60.198,1.14,1,0.5 0.5 0.28500000000000003 0.28500000000000003,10023735.48825372 -3566220.2278192346 10031748.07129468 -3570214.193027489,0,0
29-013438,168.114,-60.305,1.13,1,0.5 0.5 0.2825 0.2825,9960891.265780902 -3572562.6731587136 9968929.997454347 -3576556.5241957996,0,0
29-013802,168.498,-62.374,1.11,1,0.5 0.5 0.27749999999999997 0.27749999999999997,9983379.552742817 -3695203.009583383 9991966.030782783 -3699194.7045499715,0,0
29-013950,171.727,-60.662,1.1,1,0.5 0.5 0.275 0.275,10175006.50278941 -3593723.9148911247 10183133.937994944 -3597717.3868400888,0,0
29-013968,169.325,-60.976,1.1,1,0.5 0.5 0.275 0.275,10032588.813460933 -3612336.3221246344 10040796.174478952 -3616329.463018986,0,0
29-014032,169.401,-62.972,1.1,1,0.5 0.5 0.275 0.275,10036817.449410304 -3730649.552068687 10045578.687437499 -3734640.6430734512,0,0
29-014091,168.206,-63.745,1.09,1,0.5 0.5 0.27249999999999996 0.27249999999999996,9965865.37180657 -3776469.2380774096 9974864.865042375 -3780459.561884252,0,0
29-015417,170.222,-60.592,1.03,1,0.5 0.5 0.2575 0.2575,10085806.847942833 -3589574.651944485 10093916.710874809 -3593568.1979998294,0,0
